ProductName,Category,Brand,UnitPrice
Thermos,Pets,FakeVelvetVista,570
Water Filter,Sports & Recreation,FakeLuxeAura,417
Golf Clubs,Health & Fitness,FakeEtherealEdge,143
Lamp,Electronics,FakeVelvetVista,598
Portable Hard Drive,Electronics,FakeZenithStyle,849
Pet Toy,Pets,FakeLuxeAura,873
Earbuds,Home Appliances,FakeZenithStyle,445
Toothpaste,Toys & Games,FakeLuxeAura,458
Antivirus,Electronics,FakeUrbanGlow,724
Dog House,Arts & Crafts,FakeEtherealEdge,581
Paddleboard,Electronics,FakeUrbanGlow,972
Fire Pit,Electronics,FakeEtherealEdge,731
Laptop,Sports & Recreation,FakeZenithStyle,465
Hair Dryer,Health & Fitness,FakeUrbanGlow,618
Drone,Outdoor & Garden,FakeVelvetVista,590
Laptop,Arts & Crafts,FakeUrbanGlow,573
Vacuum Cleaner,Sports & Recreation,FakeLuxeAura,724
Laser Printer,Electronics,FakeVelvetVista,851
Garden Tools,Home & Furniture,FakeUrbanGlow,206
Fishing Rod,Electronics,FakeLuxeAura,747
Stove,Electronics,FakeZenithStyle,819
Electric Scooter,Kitchen & Dining,FakeEtherealEdge,796
Bluetooth Speaker,Sports & Recreation,FakeEtherealEdge,728
Humidifier,Toys & Games,FakeEtherealEdge,915
Suitcase,Pets,FakeUrbanGlow,941
Blender,Electronics,FakeLuxeAura,995
Dog Collar,Electronics,FakeZenithStyle,295
Monitor,Outdoor & Garden,FakeVelvetVista,653
Fan,Electronics,FakeEtherealEdge,499
Refrigerator,Electronics,FakeUrbanGlow,934
Dog House,Sports & Recreation,FakeLuxeAura,742
Treadmill,Home Appliances,FakeZenithStyle,551
Electric Scooter,Home Appliances,FakeEtherealEdge,931
Lawn Sprinkler,Kitchen & Dining,FakeLuxeAura,150
Juicer,Kitchen & Dining,FakeUrbanGlow,298
Laser Printer,Arts & Crafts,FakeZenithStyle,804
Speaker,Toys & Games,FakeVelvetVista,391
Trekking Poles,Home Appliances,FakeUrbanGlow,966
Backpack,Outdoor & Garden,FakeLuxeAura,298
Electric Toothbrush,Kitchen & Dining,FakeZenithStyle,663
Dishwasher,Sports & Recreation,FakeLuxeAura,779
Vacuum Cleaner,Outdoor & Garden,FakeUrbanGlow,465
Dog Leash,Arts & Crafts,FakeEtherealEdge,512
Snorkel Gear,Arts & Crafts,FakeLuxeAura,435
Home Security Camera,Sports & Recreation,FakeLuxeAura,753
Bird Cage,Home Appliances,FakeZenithStyle,480
Cat Tree,Sports & Recreation,FakeZenithStyle,676
Pet Feeder,Health & Fitness,FakeZenithStyle,249
Backpack,Arts & Crafts,FakeEtherealEdge,602
Humidifier,Electronics,FakeVelvetVista,498
Ski Goggles,Electronics,FakeEtherealEdge,156
Trekking Poles,Home Appliances,FakeVelvetVista,945
Tarp,Outdoor & Garden,FakeEtherealEdge,965
Dog Collar,Kitchen & Dining,FakeUrbanGlow,721
Toothpaste,Sports & Recreation,FakeEtherealEdge,643
Dart Board,Health & Fitness,FakeLuxeAura,242
Basketball,Arts & Crafts,FakeEtherealEdge,586
Smart Doorbell,Sports & Recreation,FakeUrbanGlow,992
Golf Clubs,Arts & Crafts,FakeEtherealEdge,796
Wi-Fi Extender,Toys & Games,FakeVelvetVista,344
Fishing Rod,Sports & Recreation,FakeLuxeAura,988
Tablet,Pets,FakeZenithStyle,771
Outdoor Umbrella,Sports & Recreation,FakeZenithStyle,196
Jacket,Health & Fitness,FakeVelvetVista,413
Lawn Mower,Arts & Crafts,FakeUrbanGlow,881
Cat Litter Box,Kitchen & Dining,FakeVelvetVista,946
Blender,Kitchen & Dining,FakeLuxeAura,762
Projector,Home Appliances,FakeVelvetVista,992
Hiking Boots,Home & Furniture,FakeZenithStyle,718
Ping Pong Table,Outdoor & Garden,FakeLuxeAura,349
Cat Tree,Sports & Recreation,FakeLuxeAura,752
Board Game,Sports & Recreation,FakeEtherealEdge,422
Washing Machine,Arts & Crafts,FakeZenithStyle,419
Tablet,Arts & Crafts,FakeVelvetVista,643
Outdoor Umbrella,Home & Furniture,FakeEtherealEdge,329
Game Console,Electronics,FakeUrbanGlow,459
Camping Chair,Sports & Recreation,FakeUrbanGlow,948
Ski Poles,Sports & Recreation,FakeLuxeAura,378
Smart Doorbell,Electronics,FakeLuxeAura,721
Oven,Sports & Recreation,FakeUrbanGlow,442
Smart Doorbell,Sports & Recreation,FakeUrbanGlow,511
Basketball,Health & Fitness,FakeUrbanGlow,714
Lawn Mower,Outdoor & Garden,FakeUrbanGlow,758
Smart Doorbell,Electronics,FakeLuxeAura,359
Craft Kit,Home Appliances,FakeUrbanGlow,399
Sled,Sports & Recreation,FakeZenithStyle,563
Smartwatch,Home Appliances,FakeEtherealEdge,775
Paddleboard,Electronics,FakeUrbanGlow,147
Juicer,Kitchen & Dining,FakeZenithStyle,882
Pillow,Home Appliances,FakeZenithStyle,300
Board Game,Toys & Games,FakeUrbanGlow,307
BBQ Grill,Pets,FakeLuxeAura,376
Electric Scooter,Outdoor & Garden,FakeZenithStyle,215
Bicycle,Home Appliances,FakeUrbanGlow,315
Robot Vacuum,Sports & Recreation,FakeUrbanGlow,463
Outdoor Umbrella,Home & Furniture,FakeUrbanGlow,294
Ping Pong Table,Home Appliances,FakeZenithStyle,247
Memory Card,Kitchen & Dining,FakeUrbanGlow,154
Water Filter,Arts & Crafts,FakeZenithStyle,434
Blender,Health & Fitness,FakeEtherealEdge,175
